DÉCADA 1940-1949,,
,,
Código de referencia,Titulo propio,Área de notas
MXIM-AV-1-6-1,A diary for Timothy,Esta la caja y no se encuentra el dvd
MXIM-AV-1-6-2,Farrebique ou les quatre saisons,
MXIM-AV-1-6-3,ICA - Nace una ciudad. Centro urbano Miguel Alemán (1947-1949),
MXIM-AV-1-6-4,Le chaudronnier,
MXIM-AV-1-6-5,Le Tonnelier,
MXIM-AV-1-6-6,Le sang des betes,
MXIM-AV-1-6-7,Listen to Britain,
MXIM-AV-1-6-8,London can take it!,
MXIM-AV-1-6-9-1,México durante el siglo XIX ,"En el mismo disco se puede encontrar México Durante el siglo XIX, con duración de 6'57'' de Carlos Benegri / Cine Mundial del año 1959, duración 7 minutos, de Fabian Arnaud Jy t Ruben G Chacón y México Hacia el Futuro del año 1949, es el tercer corto de 19' 18'' de la Comisión Nacional de Cinematografía."
MXIM-AV-1-6-9-2,Cine mundial- Revista filmica,"En el mismo disco se puede encontrar México Durante el siglo XIX, con duración de 6'57'' de Carlos Benegri / Cine Mundial del año 1959, duración 7 minutos, de Fabian Arnaud Jy t Ruben G Chacón y México Hacia el Futuro del año 1949, es el tercer corto de 19' 18'' de la Comisión Nacional de Cinematografía."
MXIM-AV-1-6-9-3, México hacia el futuro,"En el mismo disco se puede encontrar México Durante el siglo XIX, con duración de 6'57'' de Carlos Benegri / Cine Mundial del año 1959, duración 7 minutos, de Fabian Arnaud Jy t Ruben G Chacón y México Hacia el Futuro del año 1949, es el tercer corto de 19' 18'' de la Comisión Nacional de Cinematografía."
MXIM-AV-1-6-10,Van Gogh,"Tiene algunos defectos de desgaste en la grabación, pero sepuede ver completo. Para hacer portada se uso información del sitio http://cine.zaragozame.com/alain-resnais-la-libertad/"
MXIM-AV-1-6-11,Words for battle,
