DÉCADA 1960-1969,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-8-1,La pyramide humaine,,,
MXIM-AV-1-8-2,Tire Die,,,
MXIM-AV-1-8-3,A Valparaiso,,,
MXIM-AV-1-8-4,Skizbe,,Forma parte de la antología  Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11,
MXIM-AV-1-8-5,Menq,,Forma parte de la antología  Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11,
MXIM-AV-1-8-6,Chiefs,,,
MXIM-AV-1-8-7,Chronique d'un été (Cronica de un verano),,,
MXIM-AV-1-8-8,Comizi d´amore (Encuesta de amor),,,
MXIM-AV-1-8-9,Don´t look back,,,
MXIM-AV-1-8-10,Menq ,,,
MXIM-AV-1-8-11,Fotografia della Famiglia Italiana (Fotografía de la familia italiana),,,
MXIM-AV-1-8-12,Hanoi  Martes 13,,,
MXIM-AV-1-8-13,Hasta la victoria siempre/Hanoi/Now,,,
MXIM-AV-1-8-14,Jaguar,,,
MXIM-AV-1-8-15,La Chasse au lion à l´arc,,,
MXIM-AV-1-8-16,La Direction d acteur por Jean Renoir (La direccion de actores),,,
MXIM-AV-1-8-17,La hora de los hornos,,,
MXIM-AV-1-8-18,La jetée (El muelle),,,
MXIM-AV-1-8-19,Heracles,,Forma parte de la antología Documentales y cortometrajes de  Werner Herzog   MXIM-AV-1-12-208,
MXIM-AV-1-8-20,La punition,,,
MXIM-AV-1-8-21,Law and order,,,
MXIM-AV-1-8-22,Les années folles (Los años locos),,,
MXIM-AV-1-8-23,"Un lion nommé ""l´américain"" (Un leon llamado ""El americano"")",,,
MXIM-AV-1-8-24,México bárbaro,,,
MXIM-AV-1-8-25,Morir en Madrid,,,
MXIM-AV-1-8-26,"¡Muerte al invasor!, Reportaje especial sobre la agresión imperialista al pueblo de Cuba",,,
MXIM-AV-1-8-27,Now!,,,
MXIM-AV-1-8-28,Últimas palabras,,Forma parte de la antología Documentales y cortometrajes de  Werner Herzog   MXIM-AV-1-12-208,
MXIM-AV-1-8-29,Rumänien. Totenklage in Desa,,"Forma parte de la edición Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen                MXIM-AV-1-12-55",
MXIM-AV-1-8-30,Reportaje especial sobre la II Declaración de La Habana aprobada por el pueblo en Asamblea General,,,
MXIM-AV-1-8-31,Steam in Mexico,,,
MXIM-AV-1-8-32,Terminus (El Final),,,
MXIM-AV-1-8-33,The Saturday Men,,,
MXIM-AV-1-8-34,Comando 52,,,
